City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Pervomayskaya,43.4033,45.5261,69.6,78,0,2.24,RU,1659230262
Busselton,-33.65,115.3333,56.14,70,79,10.58,AU,1659230263
Lugovoy,42.9472,72.7644,67.53,50,8,5.1,KZ,1659230263
Provideniya,64.3833,-173.3,53.53,65,98,6.31,RU,1659230263
Saint Paul Harbor,57.79,-152.4072,62.11,72,100,9.22,US,1659230264
Pangkalanbuun,-2.6833,111.6167,74.61,96,100,5.79,ID,1659230264
Chum Phae,16.5443,102.0992,85.17,67,100,2.26,TH,1659230264
Pauini,-7.7136,-66.9764,76.73,54,2,1.86,BR,1659230264
Atuona,-9.8,-139.0333,76.95,77,13,14.47,PF,1659230265
Byron Bay,-28.65,153.6167,62.71,60,100,1.88,AU,1659230040
Birobidzhan,48.8,132.95,78.78,75,0,4.25,RU,1659230265
Kagadi,0.9606,30.7967,62.4,97,94,1.16,UG,1659230265
Lázaro Cárdenas,17.9583,-102.2,82.49,74,100,2.39,MX,1659229983
Bluff,-46.6,168.3333,47.44,75,54,15.97,NZ,1659230266
Albany,42.6001,-73.9662,73.63,63,0,3.0,US,1659230135
Alindao,5.0267,21.2088,68.58,96,100,1.54,CF,1659230266
Nome,64.5011,-165.4064,65.16,51,0,10.36,US,1659230266
Poum,-20.2333,164.0167,72.73,72,10,22.91,NC,1659230267
Baruun-Urt,46.6806,113.2792,69.6,62,0,6.71,MN,1659230267
Bambous Virieux,-20.3428,57.7575,70.21,77,75,18.41,MU,1659230267
Puerto Ayora,-0.7393,-90.3518,71.55,88,60,5.01,EC,1659230268
Rikitea,-23.1203,-134.9692,72.7,75,5,15.61,PF,1659230268
Coahuayana Viejo,18.7333,-103.6833,81.39,79,100,1.81,MX,1659229979
Payo,-3.7508,103.6372,74.48,90,100,1.34,ID,1659230268
Castro,-24.7911,-50.0119,46.92,72,5,3.31,BR,1659230268
Kirakira,-10.4544,161.9205,85.05,66,8,9.35,SB,1659230269
Kaputa,-8.4689,29.6619,70.27,53,100,2.66,ZM,1659230269
Vidim,56.4088,103.1106,59.38,99,100,9.35,RU,1659230269
Mar del Plata,-38.0023,-57.5575,53.1,86,0,11.01,AR,1659230163
Sirte,31.2089,16.5887,80.22,73,0,5.08,LY,1659230270
Mataura,-46.1927,168.8643,42.71,95,97,6.17,NZ,1659230270
Port Macquarie,-31.4333,152.9167,61.9,60,100,10.09,AU,1659230270
Laishevo,55.4046,49.5504,61.02,76,100,4.59,RU,1659230270
Qaanaaq,77.484,-69.3632,44.78,61,24,2.35,GL,1659230271
Grindavik,63.8424,-22.4338,48.67,87,75,5.75,IS,1659230271
Tautira,-17.7333,-149.15,77.61,70,23,22.95,PF,1659230271
Faanui,-16.4833,-151.75,79.23,70,10,22.62,PF,1659230272
Umeå,63.8284,20.2597,50.92,100,0,0.0,SE,1659230272
Hermanus,-34.4187,19.2345,43.81,70,58,5.64,ZA,1659230272
Ushuaia,-54.8,-68.3,42.46,65,40,18.41,AR,1659230272
Kapaa,22.0752,-159.319,84.52,70,40,12.66,US,1659230273
Hong Kong,22.2855,114.1577,87.85,82,27,4.0,HK,1659230081
Newcastle,-32.9272,151.7765,62.71,64,100,6.91,AU,1659230198
Itarema,-2.9248,-39.9167,78.03,81,26,11.32,BR,1659230123
Puerto Madryn,-42.7692,-65.0385,46.96,53,51,4.65,AR,1659230203
Hobart,-42.8794,147.3294,53.46,73,75,10.36,AU,1659230273
Rome,43.2128,-75.4557,68.14,80,0,4.61,US,1659230273
East London,-33.0153,27.9116,57.24,63,19,14.29,ZA,1659230274
Rock Sound,24.9,-76.2,82.85,78,6,20.04,BS,1659230274
Chokurdakh,70.6333,147.9167,66.94,45,2,6.08,RU,1659230058
Butaritari,3.0707,172.7902,81.0,74,86,15.86,KI,1659230334
Lebu,-37.6167,-73.65,47.88,87,96,3.98,CL,1659230335
Jamestown,42.097,-79.2353,67.64,59,0,0.0,US,1659230335
Anadyr,64.75,177.4833,59.5,51,0,6.71,RU,1659230335
Ranong,9.9658,98.6348,80.53,81,100,11.1,TH,1659230087
São Filipe,14.8961,-24.4956,77.68,79,100,6.91,CV,1659230336
Kruisfontein,-34.0033,24.7314,49.46,81,88,12.64,ZA,1659230336
Yeppoon,-23.1333,150.7333,67.78,65,100,16.53,AU,1659230336
Sola,-13.8833,167.55,79.86,75,96,8.95,VU,1659230336
Kenai,60.5544,-151.2583,65.03,82,100,8.05,US,1659230337
Mahébourg,-20.4081,57.7,70.25,77,75,18.41,MU,1659230337
Bubaque,11.2833,-15.8333,79.29,79,91,15.95,GW,1659230337
Igrim,63.1906,64.4162,55.47,60,96,10.22,RU,1659230338
Punta Arenas,-53.15,-70.9167,41.11,70,0,21.85,CL,1659230131
Lata,40.1629,-8.3327,70.11,56,0,3.49,PT,1659230338
Nikolskoye,59.7035,30.7861,55.8,97,4,4.72,RU,1659230338
San Patricio,28.017,-97.5169,88.54,58,18,13.96,US,1659230338
Thompson,55.7435,-97.8558,66.36,42,75,8.05,CA,1659230197
Bathsheba,13.2167,-59.5167,83.01,94,20,19.57,BB,1659230339
Tuktoyaktuk,69.4541,-133.0374,46.4,71,75,5.75,CA,1659230339
Saskylakh,71.9167,114.0833,54.01,95,100,9.8,RU,1659230339
Haines Junction,60.7522,-137.5108,67.95,42,45,11.5,CA,1659230340
Black River,18.0264,-77.8487,81.14,79,20,3.49,JM,1659230340
Den Helder,52.9599,4.7593,67.01,83,100,5.99,NL,1659230094
Kaya,13.0917,-1.0844,80.29,68,17,6.73,BF,1659230340
Yellowknife,62.456,-114.3525,57.72,72,75,9.22,CA,1659230341
Torbay,47.6666,-52.7314,67.57,90,100,17.27,CA,1659230341
Dikson,73.5069,80.5464,41.36,94,100,9.69,RU,1659230341
Imbituba,-28.24,-48.6703,50.09,95,0,3.04,BR,1659230244
Hithadhoo,-0.6,73.0833,80.37,75,100,15.23,MV,1659230342
Moose Factory,51.2585,-80.6094,55.4,88,100,10.36,CA,1659230342
College,64.8569,-147.8028,76.59,38,100,6.91,US,1659230184
Ikryanoye,46.0932,47.7308,71.58,55,75,5.61,RU,1659230343
Fortuna,40.5982,-124.1573,69.93,79,20,13.8,US,1659230343
Luan,46.3592,6.9759,57.36,69,6,1.01,CH,1659230343
Takoradze,4.8845,-1.7554,73.4,85,100,9.4,GH,1659230344
Labuhan,-6.8844,112.2051,78.6,74,93,8.99,ID,1659230344
Leningradskiy,69.3833,178.4167,49.98,64,74,6.51,RU,1659230344
Marsh Harbour,26.5412,-77.0636,83.17,72,100,15.19,BS,1659230345
Viedma,-40.8135,-62.9967,45.39,64,100,5.61,AR,1659230345
Zhigalovo,54.8097,105.1578,61.16,98,100,4.79,RU,1659230345
Lompoc,34.6391,-120.4579,83.01,74,0,12.66,US,1659230346
Hilo,19.7297,-155.09,87.28,77,75,10.36,US,1659230086
Dharmanagar,24.3667,92.1667,76.98,97,100,1.86,IN,1659230346
Mīzan Teferī,6.9833,35.5833,60.66,99,100,0.51,ET,1659230180
Lüderitz,-26.6481,15.1594,52.57,64,0,20.13,NA,1659230347
Olafsvik,64.8945,-23.7142,48.61,76,1,6.49,IS,1659230347
Ketchikan,55.3422,-131.6461,64.87,94,100,8.05,US,1659230347
Roald,62.5833,6.1333,63.52,88,100,0.0,NO,1659230347
Bengkulu,-3.8004,102.2655,76.78,86,94,3.87,ID,1659230348
Guhāgar,17.4842,73.1929,78.71,89,89,4.97,IN,1659230408
Sinnamary,5.3833,-52.95,78.06,85,84,8.1,GF,1659230408
Udachny,66.4167,112.4,72.1,65,61,4.09,RU,1659230409
Tandil,-37.3217,-59.1332,48.69,76,100,4.38,AR,1659230409
Cap-aux-Meules,47.3821,-61.8597,68.05,83,20,10.36,CA,1659230319
Saint George,37.1041,-113.5841,98.44,28,20,4.0,US,1659230136
Dingle,10.9995,122.6711,81.91,82,100,5.73,PH,1659230410
Pisco,-13.7,-76.2167,60.85,82,0,6.91,PE,1659230410
Cape Town,-33.9258,18.4232,46.9,92,40,4.61,ZA,1659230410
Saldanha,-33.0117,17.9442,41.05,77,10,9.28,ZA,1659230411
Ondjiva,-17.0667,15.7333,53.96,36,5,5.84,AO,1659230411
Tessalit,20.1986,1.0114,88.23,36,85,15.37,ML,1659230412
George Town,5.4112,100.3354,82.89,87,20,3.44,MY,1659230136
Bonthe,7.5264,-12.505,75.49,77,39,6.62,SL,1659230412
Portobelo,9.55,-79.65,81.73,88,100,10.98,PA,1659230413
Praia da Vitória,38.7333,-27.0667,71.85,88,0,4.47,PT,1659230413
Khatanga,71.9667,102.5,45.88,91,100,11.79,RU,1659230413
Mogadishu,2.0371,45.3438,75.45,81,100,16.49,SO,1659230414
Saint Anthony,45.0205,-93.218,82.33,56,0,14.97,US,1659230158
Esperance,-33.8667,121.9,50.29,74,36,17.43,AU,1659230414
Flin Flon,54.7682,-101.865,60.96,64,100,1.23,CA,1659230414
Mareeba,-17.0,145.4333,73.44,70,70,7.52,AU,1659230415
Tigil',57.8,158.6667,65.61,48,73,14.38,RU,1659230415
Venkatagiri,13.9667,79.5833,81.07,72,100,3.51,IN,1659230415
Mossamedes,-15.1961,12.1522,60.66,90,12,7.83,AO,1659230416
Longyearbyen,78.2186,15.6401,48.04,87,75,11.5,SJ,1659230416
Port Alfred,-33.5906,26.891,50.18,78,3,5.99,ZA,1659230416
Ancud,-41.8697,-73.8203,41.23,86,100,3.06,CL,1659230417
Port Lincoln,-34.7333,135.8667,55.6,71,58,22.62,AU,1659230417
Boa Vista,2.8197,-60.6733,76.98,83,20,4.61,BR,1659230418
Samfya,-11.3649,29.5565,56.95,56,0,5.61,ZM,1659230418
Tasiilaq,65.6145,-37.6368,42.96,63,54,6.13,GL,1659230418
Saint-Philippe,-21.3585,55.7679,71.11,77,42,13.76,RE,1659230419
Tuatapere,-46.1333,167.6833,46.38,81,88,10.02,NZ,1659230419
San Miguel de Tucumán,-26.8241,-65.2226,55.4,76,6,9.22,AR,1659230413
Kawalu,-7.3817,108.2082,73.58,86,60,2.86,ID,1659230419
Bandarbeyla,9.4942,50.8122,75.6,77,60,25.21,SO,1659230420
Beisfjord,68.3751,17.5988,57.04,68,41,7.47,NO,1659230420
Upernavik,72.7868,-56.1549,44.85,82,100,4.52,GL,1659230421
Aykhal,66.0,111.5,69.73,73,78,5.73,RU,1659230421
Barrow,71.2906,-156.7887,35.62,87,100,8.05,US,1659230359
Bowen,-20.0167,148.2333,69.84,73,100,21.83,AU,1659230421
Fomboni,-12.28,43.7425,75.63,72,0,3.83,KM,1659230422
Motygino,58.1831,94.7592,67.42,89,10,3.94,RU,1659230422
Bonavista,48.6499,-53.1147,62.56,93,100,15.48,CA,1659230422
Ribeira Grande,38.5167,-28.7,73.9,70,15,0.43,PT,1659230422
Naze,28.3667,129.4833,85.12,83,89,27.25,JP,1659230423
Asău,46.4333,26.4,65.32,91,100,4.54,RO,1659230423
Vaini,-21.2,-175.2,80.76,89,40,12.66,TO,1659230423
Kavieng,-2.5744,150.7967,84.99,63,88,11.01,PG,1659230424
Egvekinot,66.3167,-179.1667,52.41,49,100,4.7,RU,1659230484
Port Elizabeth,-33.918,25.5701,51.31,79,0,11.5,ZA,1659230484
Carnarvon,-24.8667,113.6333,61.52,52,4,17.9,AU,1659230485
Muros,42.7762,-9.0603,69.1,69,0,12.15,ES,1659230485
Vao,-22.6667,167.4833,67.73,74,99,26.4,NC,1659230485
Roberval,48.5168,-72.2324,66.83,72,75,8.05,CA,1659230485
Bethel,41.3712,-73.414,77.85,69,40,3.44,US,1659230486
Arraial do Cabo,-22.9661,-42.0278,67.19,67,5,14.79,BR,1659230486
Severo-Kuril'sk,50.6789,156.125,57.25,81,26,7.34,RU,1659230486
Hobyo,5.3505,48.5268,74.95,85,83,24.14,SO,1659230487
Diébougou,10.9667,-3.25,74.89,83,99,4.16,BF,1659230487
Goderich,43.7501,-81.7165,69.91,72,5,9.78,CA,1659230487
Galle,6.0367,80.217,78.21,86,74,5.97,LK,1659230487
North Bend,43.4065,-124.2243,79.25,91,40,4.61,US,1659230488
Windsor,42.3001,-83.0165,79.14,69,75,6.91,CA,1659230488
Padilla,3.2204,-76.3139,72.97,91,99,3.87,CO,1659230488
Belen,36.4891,36.2233,71.74,78,0,12.66,TR,1659230376
Kokkola,63.8385,23.1307,59.94,91,0,2.3,FI,1659230489
Hasaki,35.7333,140.8333,95.29,69,7,1.92,JP,1659230489
Huilong,31.8111,121.655,87.93,80,38,12.73,CN,1659230489
Talnakh,69.4865,88.3972,47.21,85,100,16.73,RU,1659230489
Barguzin,53.6167,109.6167,60.76,93,100,3.96,RU,1659230490
Puerto Peñasco,31.3167,-113.5333,86.92,77,2,5.01,MX,1659230490
Mwene-Ditu,-7.0,23.45,72.75,54,89,1.43,CD,1659230490
Guarapari,-20.6667,-40.4975,68.07,70,84,8.1,BR,1659230490
Solnechnyy,50.7214,136.6319,72.54,64,62,6.53,RU,1659230491
Tibú,8.639,-72.7358,74.61,97,83,2.24,CO,1659230491
Kibaya,-5.3,36.5667,54.36,95,64,3.51,TZ,1659230491
Port Blair,11.6667,92.75,80.64,89,40,2.3,IN,1659230492
Bosaso,11.2842,49.1816,90.57,41,25,19.84,SO,1659230492
Port Moresby,-9.4431,147.1797,85.42,70,40,14.97,PG,1659230492
Lamu,-2.2717,40.902,73.62,86,28,12.71,KE,1659230492
Grand Gaube,-20.0064,57.6608,70.38,62,100,7.0,MU,1659230493
Poplar Bluff,36.757,-90.3929,73.29,87,75,0.0,US,1659230493
Vanimo,-2.6741,141.3028,84.9,66,12,5.61,PG,1659230493
Avarua,-21.2078,-159.775,78.85,73,40,19.57,CK,1659230494
Aranos,-24.1333,19.1167,46.02,46,93,8.28,NA,1659230481
Nakhon Si Thammarat,8.25,100.0,86.0,80,100,5.14,TH,1659230494
Araguaçu,-12.9306,-49.8264,75.85,24,4,0.89,BR,1659230494
New Norfolk,-42.7826,147.0587,53.1,59,100,6.96,AU,1659230494
Homer,59.6425,-151.5483,58.05,94,100,10.0,US,1659230495
Helmsdale,58.1168,-3.6517,57.15,75,67,8.77,GB,1659230495
Coyhaique,-45.5752,-72.0662,34.41,93,0,2.3,CL,1659230495
Batié,9.8833,-2.9167,73.06,86,91,4.59,BF,1659230496
Norman Wells,65.282,-126.8329,68.04,49,40,10.36,CA,1659230496
Bredasdorp,-34.5322,20.0403,44.96,87,16,5.14,ZA,1659230496
Mount Gambier,-37.8333,140.7667,48.11,93,75,16.11,AU,1659230406
Broken Hill,-31.95,141.4333,57.2,38,100,15.14,AU,1659230497
Gamba,-2.65,10.0,72.1,86,81,5.06,GA,1659230497
Arandis,-22.4167,14.9667,44.69,91,9,3.94,NA,1659230497
Larsnes,62.2028,5.5773,63.19,87,100,4.9,NO,1659230557
Hirara,24.8,125.2833,86.27,84,75,11.5,JP,1659230558
Lagoa,39.05,-27.9833,72.59,71,0,5.97,PT,1659230558
Michigan City,41.7075,-86.895,76.87,77,0,0.0,US,1659230541
Westport,41.1415,-73.3579,80.42,60,0,3.44,US,1659230558
Paris,48.8534,2.3488,69.15,74,0,5.75,FR,1659230298
Korla,41.7597,86.1469,79.7,33,96,11.79,CN,1659230559
Morondava,-20.2833,44.2833,69.53,82,92,4.09,MG,1659230559
Ternate,0.8,127.4,82.65,70,86,1.81,ID,1659230559
Nambucca Heads,-30.65,153.0,63.18,63,100,7.0,AU,1659230560
Hazorasp,41.3194,61.0742,71.44,37,0,8.68,UZ,1659230560
Pahrump,36.2083,-115.9839,98.65,36,28,8.99,US,1659230511
Ilhabela,-23.7781,-45.3581,60.08,78,27,3.38,BR,1659230560
Kaitangata,-46.2817,169.8464,42.91,90,97,10.13,NZ,1659230560
Rocha,-34.4833,-54.3333,47.1,83,100,4.21,UY,1659230561
Kamaishi,39.2667,141.8833,83.35,63,0,4.18,JP,1659230561
Sergeevka,53.88,67.4158,59.76,89,77,6.53,KZ,1659230561
Barra de Tecoanapa,16.5167,-98.75,82.35,73,100,5.19,MX,1659230478
Pachino,36.7186,15.0907,80.96,72,0,6.85,IT,1659230562
Souillac,-20.5167,57.5167,68.38,77,75,18.41,MU,1659230562
Viljoenskroon,-27.2084,26.9485,47.34,47,11,4.74,ZA,1659230562
Sebina,-20.8667,27.25,55.74,25,0,5.26,BW,1659230563
Chivay,-15.6383,-71.6011,48.94,36,6,5.23,PE,1659230563
Sur,22.5667,59.5289,84.43,68,49,6.8,OM,1659230563
Grants Pass,42.439,-123.3284,102.34,57,0,5.75,US,1659230564
Matara,5.9485,80.5353,76.82,90,58,6.64,LK,1659230564
Leku,6.8667,38.45,58.26,92,100,3.36,ET,1659230564
Pattani,6.75,100.4167,83.5,83,100,1.99,TH,1659230564
Ures,29.4333,-110.4,88.03,53,17,4.72,MX,1659230565
Tabou,4.423,-7.3528,75.02,80,100,7.54,CI,1659230565
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,77.32,67,4,3.31,CN,1659230565
Alofi,-19.0595,-169.9187,80.49,74,9,16.11,NU,1659230566
Candolim,15.5181,73.7626,79.65,89,22,5.88,IN,1659230566
Airai,-8.9266,125.4092,67.95,59,35,4.18,TL,1659230463
Hambantota,6.1241,81.1185,78.6,85,84,12.35,LK,1659230566
Lavrentiya,65.5833,-171.0,48.29,71,100,4.59,RU,1659230567
Gorontalo,0.5412,123.0595,80.83,85,100,1.36,ID,1659230567
Codrington,-38.2667,141.9667,50.14,76,100,20.31,AU,1659230567
Ilulissat,69.2167,-51.1,48.22,81,100,5.75,GL,1659230568
San Cristobal,7.7669,-72.225,75.38,93,20,3.27,VE,1659230568
Santiago del Estero,-27.7951,-64.2615,63.32,29,0,8.61,AR,1659230369
Kedrovyy,56.1667,91.8167,66.87,93,85,5.01,RU,1659230568
Aksarka,66.5606,67.7975,50.43,71,64,9.82,RU,1659230568
Cherskiy,68.75,161.3,66.02,39,71,16.84,RU,1659230569
Visnes,59.3556,5.2242,59.83,88,75,14.97,NO,1659230569
Zambezi,-13.5432,23.1047,54.81,38,0,5.55,ZM,1659230569
Vrangel',42.7297,133.0839,73.58,92,100,6.13,RU,1659230570
San Francisco,37.7749,-122.4194,76.23,89,75,16.11,US,1659230533
Trelew,-43.249,-65.3051,44.89,54,100,6.58,AR,1659230570
Hastings,50.8552,0.5729,66.29,96,98,11.74,GB,1659230570
Jinchang,38.4953,102.1739,78.49,38,41,5.12,CN,1659230631
Kaeo,-35.1,173.7833,58.32,75,49,12.86,NZ,1659230631
Valparaíso,-33.0393,-71.6273,55.47,97,75,0.0,CL,1659230528
Pevek,69.7008,170.3133,47.39,65,26,9.08,RU,1659230631
Okhotsk,59.3833,143.3,58.53,88,100,13.02,RU,1659230631
Wembley,-31.9333,115.8,55.06,86,0,8.05,AU,1659230632
Palu,-0.8917,119.8707,81.36,87,100,0.18,ID,1659230632
Bilma,18.6853,12.9164,88.21,33,20,7.43,NE,1659230632
Vangaindrano,-23.35,47.6,63.72,95,11,4.14,MG,1659230633
Carbonia,39.1672,8.5222,75.85,74,0,6.98,IT,1659230633
Bairiki Village,1.3292,172.9752,86.0,66,20,13.8,KI,1659230633
Ajdabiya,30.7554,20.2263,78.75,70,0,9.57,LY,1659230633
Havelock,34.8791,-76.9013,82.35,93,75,0.0,US,1659230634
Madang,-5.2246,145.7966,83.84,70,85,4.41,PG,1659230634
Tiksi,71.6872,128.8694,50.52,72,100,3.51,RU,1659230634
Jumla,29.2747,82.1838,62.87,94,77,0.51,NP,1659230635
Vila Franca do Campo,37.7167,-25.4333,70.21,84,21,5.23,PT,1659230635
Flinders,-34.5833,150.8552,61.05,69,100,8.99,AU,1659230635
Erzin,36.9559,36.2,73.35,71,1,1.77,TR,1659230635
Margate,51.3813,1.3862,66.87,86,98,1.99,GB,1659230636
Rupert,42.6191,-113.6772,89.55,19,0,4.61,US,1659230636
